"CO_NBM";"NO_NBM"
"8477510000";"MAQS.P/MOLDAR/RECAUCHUTAR,PNEUMATICO/MOLDAR CAMARA-AR"
"9101190101";"RELOGIO PULSO,PILHA/ACUMUL.OUT.MOSTR.CX.MET.PREC/PEROLA"
"9101210201";"RELOGIO PULSO,CORDA AUTOMAT.CX.MET.FLHD.PREC/PEROLA/ETC"
"9101990101";"OUTS.RELOGIO BOLSO,CX.MET.PREC/PEROLA,EXC.PILHA/ACUMUL."
"9102110200";"RELOGIO PULSO,PILHA/ACUM.MOSTR.MEC.CX.PLASTICO,S/VIDRO"
"9102120200";"RELOG.PULSO,PILHA/ACUM.MOSTR.OPTOELETR.CX.PLAST.S/VIDRO"
"8480490100";"COQUILHAS P/METAIS,P/MOLDAGEM POR OUT.TIPO,P/METAIS/ETC"
"8480490200";"MOLDES DE TIPOGRAFIA,P/MOLDAGEM POR OUT.TIPO,P/METAIS/"
"8481100200";"VALVULAS REDUTORAS DE PRESSAO,DE COBRE/LIGAS"
"8481300101";"VALVULAS DE RETENCAO,DE FERRO/ACO,P/AERONAUTICA"
"8481300199";"QQ.OUT.VALVULA DE RETENCAO,DE FERRO/ACO"
"8481400200";"VALVULAS DE SEGURANCA,DE COBRE E SUAS LIGAS"
"8481800199";"QQ.OUT.VALVULA TIPO AEROSOL,DE OUTS.MATERIAS"
"8481800299";"QQ.OUT.JOGO P/BANHEIRO/COZINHA,DE OUTS.MATERIAS"
"8481800501";"TORNEIRAS DE FERRO OU ACO"
"9111900100";"PINOS DE MOLA,P/CAIXAS DE RELOGIO DE PULSO"
"9112100101";"CAIXAS DE OUTS.APARS.RELOJOARIA,DE METAL PRECIOSO"
"9112909900";"OUTS.PARTES DE CAIXAS DE OUTS.APARS.RELOJOARIA"
"8483400101";"ENGRENAGENS E RODAS DE FRICCAO,DE PLASTICO"
"8483409900";"OUTS.ORGAOS ELEMENTARES DE TRANSMISSAO/EIXOS DE ESFERAS"
"8484900200";"JUNTAS P/CARBURADORES"
"8485909900";"OUTS.PARTES DE MAQUINAS/APARELHOS,S/CONEXOES ELETRICAS"
"8501200000";"MOTOR ELETRICO,UNIVERSAL,POT>37.5W"
"8501310201";"GERADOR DE CORRENTE CONTINUA,37.5<P<=750W,FOTOVOLTAICO"
"8501330299";"QQ.OUT.GERADOR ELETR.DE CORRENTE CONTINUA,75KW<P<=375KW"
"8501340201";"GERADOR ELETR.DE CORR.CONTINUA,P>375KW,P/AERONAUTICA"
"8501340299";"QQ.OUT.GERADOR ELETR.DE CORRENTE CONTINUA,POT>375KW"
"8501539900";"OUTS.MOTORES ELETRICOS,DE CORR.ALTERN.POLIFASICO,P>75KW"
"8502110000";"GRUPO ELETROGENEO,ELETR.P/MOTOR DIESEL/ETC.POT<=75KVA"
"9102910100";"OUTS.RELOGIO BOLSO,PILHA/ACUMUL.CX.METAL COMUM"
"9102999901";"OUTS.RELOGIO BOLSO,CX.PLASTICO C/FIBRA VIDRO,EXC.PILHA/"
"9105910100";"CRONOGRAFO DE PRECISAO,DE PILHA/ACUMULADOR/ELETRICO"
"9108110100";"MAQUINISMO PEQ.VOL.P/RELOG.PULSO,PILHA/ACUM.MOSTR.MEC."
"6204310000";"""BLAZERS"" DE LA/PELOS FINOS,USO FEMININO"
"6204530000";"SAIAS/SAIAS-CALCAS,DE FIBRA TEXTIL SINTET.USO FEMININO"
"6204630000";"CALCAS/BERMUDAS/ETC.DE FIBRA TEXT.SINTET.USO FEMININO"
"6204690000";"CALCAS/BERMUDAS/ETC.DE OUT.MATERIA TEXTIL,USO FEMININO"
"8503000100";"PARTES DE MOTORES DE UTILIZACAO EM BRINQUEDOS"
"8504220000";"TRANSFORMADOR DE DIELETRICO LIQUIDO,650KVA<P<=10000KV"
"8504319999";"QQ.OUT.TRANSFORMADOR ELETRICO,P<=1KVA"
"8504400201";"CARREGADORES DE ACUMULADOR ELETRICO,P/AERONAUTICA"
"8504409901";"RETIFICADORES DE VAPOR,DE MERCURIO"
"8504900103";"PARTES DE TRANSFORMADORES,P/BRINQUEDOS"
"8504900199";"QQ.OUT.PARTE DE TRANSFORMADORES"
"8504909902";"DISCOS/PLACAS,DE SELENIO,P/CONVERSOR ESTATICO/BOBINAS"
"8506190000";"PILHAS/BATERIA,DE OUTS.OXIDOS,V<=300CM3"
"8507200100";"ACUMULADOR ELETRICO,DE CHUMBO,P<=1000KG"
"8507409900";"ACUMULADOR ELETRICO,DE NIQUEL-FERRO,P>2500KG"
"8508100100";"PERFURADORA C/MOTOR ELETRICO,USO MANUAL,P<=15KG"
"8508200104";"TESOURA E CISALHA P/CHAPA METALICA,PESO<=15KG"
"8508800199";"QQ.OUT.FERRAMENTA ELETROMECANICA,C/MOTOR,MANUAL,P<=15KG"
"8509400400";"ESPREMEDOR DE FRUTAS/ETC.MOTOR ELETRICO,USO DOMESTICO"
"8509800100";"CORTADOR DE FRIOS,C/MOTOR ELETRICO,DE USO DOMESTICO"
"8306109900";"CAMPAINHAS/GONGOS/ETC.N/ELETRICOS,DE METAL COMUM"
"8306210200";"ESTATUETAS/BUSTOS,DE METAL COMUM,PRATEADOS/DOURADOS/ETC"
"8307100000";"TUBO DE FERRO/ACO,FLEXIVEL,MESMO C/ACESSORIOS"
"8308900300";"CONTAS E LANTEJOULAS,DE METAL COMUM"
"8310000200";"NUMERO E LETRAS,DE METAL COMUM"
"8311309900";"VARETAS/FIOS,DE OUT.METAL COMUM,P/SOLDAR A CHAMA,REVEST"
"8311900200";"FIO/VARETAS DE POS DE METAL COMUM AGLOMER.P/METALIZACAO"
"8401100000";"REATORES NUCLEARES"
"8402110000";"CALDEIRAS AQUATUBULARES,C/PROD.DE VAPOR>45T/HORA"
"8404100200";"APARS.AUXIL.DE CALDEIRAS,P/AQUECIM.CENTRAL"
"8406110000";"TURBINAS A VAPOR P/PROPULSAO DE EMBARCACAO"
"9402909900";"OUTS.MOBILIARIOS P/MEDICINA/ODONTOLOGIA/VETERINARIA"
"9403200100";"MESAS DE METAL"
"9403200400";"BALCOES/VITRINAS/EXPOSITORES,DE METAL"
"9403200500";"CAMAS DE METAL"
"9404299900";"COLCHOES DE OUTS.MATERIAS,EXC.BORRACHA/PLASTICO/MOLAS"
"9404300000";"SACOS DE DORMIR"
"9405109900";"LUSTRES/APAR.ILUM.ELETR.DE.OUT.MATERIA,P/FIXAR EM TETO/"
"9405200100";"ABAJUR DE CABECEIRA/ETC.ELETRICO,DE MADEIRA"
"9405600101";"LETREIROS LUMINOSOS,DE PLASTICO"
"9406000300";"CONSTRUCAO PRE-FABRICADA,DE MATERIA CERAMICA/CIMENTO/"
"9406009900";"CONSTRUCAO PRE-FABRICADA,DE OUTRAS MATERIAS"
"9503200000";"MODELOS REDUZIDO,DE BRINQUEDO,EM CONJUNTO,P/MONTAGEM"
"9503300000";"OUTS.CONJUNTOS E BRINQUEDOS,PARA MONTAGEM"
"6701000400";"PENACHO OU TOPE DE PENAS,PARA MILITAR"
"8536500199";"QQ.OUT.INTERRUPTOR/ETC.N/AUTOMATICO,P/TENSAO<=1KV"
"8536500300";"INTERRUPTOR AUTOMAT.N/SECO,P/AERONAUTICA,P/TENSAO<=1KV"
"8536690201";"CONECTOR PARA CABO CHATO MULTIPLO"
"8536900200";"CONECTOR PARA PLACA DE CIRCUITO IMPRESSO"
"8536909900";"OUTS.APARS.P/INTERRUPCAO/ETC.DE CIRCUITO ELETR.T<=1KV"
"8538900100";"PARTES DE INTERRUPTORES E SECCIONADORES"
"8539290200";"LAMPADAS/TUBOS,INCANDESCENCIA,P/ILUM.CINEMA/ETC.T<=100V"
"8539900200";"AMPOLAS/TUBOS,REVESTIDOS/DE SUBSTANCIA FLUORESCENTE"
"5206240100";"FIO DE ALGODAO<85%,SIMPLES,FIBRA PENT.CRU,DEC>=125"
"5206249900";"OUTS.FIOS ALGODAO<85%,FIBRA PENT.DEC>=125"
"5206450000";"FIO DE ALGODAO<85%,RETORC.FIBRA PENT.DEC<125"
"5402200100";"FIO DE POLIESTER,DE ALTA TENACIDADE,TINTO"
"5402329901";"FIO DE NAILON,TEXTURIZADO,CONTEUDO>50TEX/FIO,EXC.TINTO"
"5402390499";"QQ.OUT.FIO DE POLIPROPILENO,TEXTURIZADO,N/TINTO"
"5402410102";"FIOS DE OUTS.POLIAMIDAS,SIMPLES,T<=50VOLTAS/M,TINTOS"
"5402490101";"FIO DE DERIVADO VINILICO,SIMPLES,TORC<=50VOLTAS/M,TINTO"
"5402499900";"FIO DE OUT.FILAMENTO SINTET.SIMPLES,T<=50VOLTAS/M,TINTO"
"5402519901";"FIO DE NAILON,SIMPLES,TORCAO>50VOLTAS/M,EXC.TINTO"
"5402520100";"FIO DE POLIESTER,SIMPLES,TORCAO>50VOLTAS/M,TINTO"
"5402590201";"FIO DE ACRILICO,SIMPLES,TORCAO>50VOLTAS/M,TINTO"
"5402699900";"FIO DE OUT.FILAMENTO SINTETICO,RETORCIDO"
"7115900200";"OBRAS DE OURO/METAL FOLHEADO/CHAPEADO A OURO"
"8445190207";"ABRIDORES DE FARDOS/CARREGADORES AUTOMATICOS"
"8445190208";"ABRIDORES DE FIBRAS OU DIABOS"
"8445200100";"ESPATELADEIRAS/SACUDIDEIRAS,P/FIACAO DE MATERIA TEXTIL"
"8445200600";"MAQUINAS ""TOW-TO-YARN"" P/FIACAO DE FIBRA TEXTIL SINTET/"
"8446309999";"QQ.OUT.TEAR,S/LANCADEIRA,P/TECIDO N/TUBULAR,L>30CM"
"0306210000";"LAGOSTAS (PALINURUS/PANULIRUS/JASUS SPP),NAO CONGELADAS"
"0306240000";"CARANGUEJOS NAO CONGELADOS"
"2714900300";"ASFALTITAS"
"2715000301";"PREPARACAO DE ASFALTO LIQUIDO C/SAIBRO/AREIA/ETC"
"2802000100";"ENXOFRE SUBLIMADO OU PRECIPITADO"
"2804100000";"HIDROGENIO"
"2805300200";"CERIO - METAL DE TERRAS RARAS"
"2809200202";"POLIMERO DO ACIDO METAFOSFORICO"
"2811190101";"ACIDO FLUOSSILICICO"
"2811190199";"QQ.OUT.ACIDO INORGANICO,DE FLUOR"
"2811190700";"ACIDO DE TELURIO,INORGANICO"
"2811230100";"DIOXIDO DE ENXOFRE,EM ESTADO GASOSO/LIQUEFEITO"
"2811299900";"OUTS.COMPOSTOS OXIGENADOS INORGAN.DE ELEMENTOS N/METAL."
"2812100203";"DICLORETO DE ENXOFRE"
"2812100299";"QQ.OUT.CLORETO E OXICLORETO,DE ENXOFRE"
"2812100500";"CLORETO DE CARBONILA"
"2812109902";"OUTS.OXICLORETOS DE ELEMENTOS NAO METALICOS"
"2813900100";"SULFETO DE ARSENIO"
"2813900400";"SULFETO DE NITROGENIO"
"2815110200";"HIDROXIDO DE SODIO,SOLIDO,EM ESCAMAS (SODA CAUSTICA)"
"2815119900";"HIDROXIDO DE SODIO,EM OUT.FORMA SOLIDA (SODA CAUSTICA)"
"2815120000";"HIDROXIDO DE SODIO,EM SOLUCAO AQUOSA (SODA CAUSTICA)"
"2815200000";"HIDROXIDO DE POTASSIO (POTASSA CAUSTICA)"
"2816309900";"OUTS.HIDROXIDOS E PEROXIDOS DE BARIO"
"2912419900";"OUTS.VANILILAS (ALDEIDO METILPROTOCATEQUICO)"
"2912600000";"PARAFORMALDEIDO"
"2914190200";"OXIDO DE MESITILA"
"2914190300";"ACETILACETONA"
"2914190700";"NONANONA"
"2914190800";"DECANONA"
"2914220100";"CICLOEXANONAS"
"2914490200";"HIDROXIPROPANONA"
"2914490300";"ALDEIDO PIRUVICO"
"2914490400";"ACETOINA"
"2914500000";"CETONAS-FENOIS E CETONAS C/OUTS.FUNCOES OXIGENADAS"
"2914700900";"BISSULFITO SODICO DE MENADIONA"
"2915120100";"FORMIATO DE CALCIO"
"2915130100";"ORTOFORMIATO DE TRIMETILA"
"2915210000";"ACIDO ACETICO"
"2915390500";"ACETATO DE QUAIACOL"
"2915391400";"PERACETATO DE TERC-BUTILA"
"2915391700";"ACETATO DE CINAMILA"
"2915392700";"ACETATO DE TRICLORO ALFA-FENILETILA"
"2915400102";"ACIDO TRICLOROACETICO"
"9503900200";"BAGATELA/BILHAR/ETC.DE BRINQUEDO,DIM<=95CM"
"9504200100";"BILHARES DE DIMENSAO>95CM"
"9504200299";"QQ.OUT.ACESSORIO P/BILHARES"
"9504900100";"COPOS PARA DADOS"
"9506190000";"OUTS.EQUIPAMENTOS P/ESQUIAR NA NEVE"
"9506310000";"TACOS COMPLETOS,PARA GOLFE"
"9506999900";"OUTS.ARTEFATOS P/GINASTICA/ATLETISMO/OUTS.ESPORTES"
"9507900100";"PUCAS E REDES PEQUENAS COM ARMACOES"
"9602000299";"QQ.OUT.GELATINA N/ENDURECIDA,TRABALHADA,E SUAS OBRAS"
"9603409900";"BONECAS PARA PINTURA"
"9605000101";"CONJUNTO DE VIAGEM,P/TOUCADOR DE PESSOAS,DE COURO"
"9606220000";"BOTOES DE METAL COMUM,N/RECOBERTOS DE MATERIA TEXTIL"
"9606290100";"BOTOES DE PLASTICO,RECOBERTOS DE MATERIA TEXTIL"
"9608310100";"CANETA-TINTEIRO P/DESENHAR C/NANQUIM,C/METAL PRECIOSO"
"6814900100";"ARRUELAS DE MICA"
"8414800600";"COIFAS (EXAUSTOR),DIMENSAO HORIZONTAL>120CM"
"8414900405";"LOBULOS PARALELOS/HELICOIDAIS P/COMPRESSORES DE GASES"
"8415900300";"PARTES DE MAQS/APARS.DE AR CONDICIONADO,P/AVIOES"
"8418500199";"QQ.OUT.REFRIGERADOR"
"8418500200";"OUTS.CONGELADORES (FREEZERS)"
"8418690100";"GRUPO DE COMPRESSAO/ABSORCAO,P/PRODUCAO DO FRIO"
"8540420000";"TUBO P/MICROONDAS - CLISTRONS"
"8540810000";"TUBO DE RECEPCAO OU DE AMPLIFICACAO"
"8540910300";"PECAS DE METAL COMUM P/MONTAGEM DE TUBO CATODICO DE TV"
"8703900100";"OUTS.AUTOMOVEIS DE PASSAGEIROS"
"8703900200";"OUTS.AMBULANCIAS"
"8703909900";"OUTS.VEICULOS AUTOMOVEIS"
"8704100000";"""DUMPERS"" P/USO FORA DE RODOVIAS,P/TRANSP.DE MERCADORIA"
"8704210100";"CAMINHAO C/MOTOR,IGNICAO POR COMPRESSAO,CAP<=5T"
"8704210300";"VEIC.AUTOMOVEL P/TRANSP.LIXO,C/MOTOR,IGN.COMPRESS.C<=5T"
"8708290400";"PARA-BRISAS,P/AUTOMOVEIS/ONIBUS/CAMINHOES/ETC."
"8708290600";"PORTAS P/AUTOMOVEIS/ONIBUS/CAMINHOES/ETC."
"8708930100";"EMBREAGENS MECANICAS,P/AUTOMOVEIS/ONIBUS/CAMINHOES/ETC."
"5403320100";"FIO DE RAIOM DE VISCOSE,SIMPLES,TORC>120VOLTAS/M,TINTO"
"5403329900";"FIO DE RAIOM DE VISCOSE,SIMPLES,T>120VOLTAS/M,N/TINTO"
"7216400200";"PERFIS EM L/T,DE FERRO/ACO,LAMIN.A QUENTE,H>=200MM"
"7217110100";"FIO DE FERRO/ACO,C<0.25%,N/REVESTIDO,OVALADO,P/CERCA"
"7217119900";"FIO DE FERRO/ACO,C<0.25%,N/REVESTIDO,EXC.OVALADO"
"7217199900";"OUTS.FIOS DE FERRO/ACO,C<0.25%,EXC.OVALADOS"
"7217239900";"OUTS.FIOS DE FERRO/ACO,C<0.60%,REVEST.C/OUT.METAL"
"7217290100";"OUTS.FIOS DE FERRO/ACO,0.25%<=C<0.6%,OVALADO,P/CERCA"
"7218100100";"ACO INOXIDAVEL,EM LINGOTES"
"7219330000";"LAMINADO PLANO,ACO INOX.A FRIO,L>=6DM,1MM<E<3MM"
"7220120000";"LAMINADO PLANO,ACO INOX.A QUENTE,L<6DM,E<4.75MM"
"7220200000";"LAMINADOS PLANOS,DE ACO INOX.A FRIO,L<6DM"
"7220209900";"OUTS.LAMINADOS PLANO,DE ACO INOX.A FRIO,L<6DM"
"7220900000";"OUTS.LAMINADOS PLANOS,DE ACO INOX.L< 6DM"
"7222100200";"BARRA DE ACO INOX.LAMIN.A QUENTE,SECAO RETANGULAR"
"8448390102";"PARTES/ACESS.DE FILATORIOS INTERMIT.DE MATERIA TEXTIL"
"8448390104";"PARTES/ACESS.DE MACAROQUEIRAS DE MATERIA TEXTIL"
"8448390203";"PARTES/ACESS.DE ESPULADEIRAS DE MATERIA TEXTIL"
"8448390204";"PARTES/ACESS.DE MEADEIRAS DE MATERIA TEXTIL"
"6815109900";"OUTS.OBRAS DE GRAFITA/OUTS.CARBONOS,P/USO N/ELETRICO"
"6815919900";"OUTS.OBRAS COM MAGNESITA/DOLOMITA/CROMITA"
"6902109901";"OUTS.PECAS CERAMS.MAGNESIANA DOLOMITA,CONT>50%MG/CA/CR"
"6902200101";"TIJOLO ALUMINOSO,INCL.ISOLANTE/ANTIACIDO,CONT>50%AL2O3"
"6902200104";"TIJOLO SILICO-ALUMINOSO,INCL.ISOLANTE/ANTIACIDO"
"6902200199";"QQ.OUT.TIJOLO REFRAT.P/CONSTRUCAO,DE ALUMINA/SILICA/ETC"
"6902209902";"OUTS.PRODS.CERAM.SILICOSOS/SEMI-SILICOSOS/DE SILICA"
"6902209999";"QQ.OUT.PROD.CERAM.REFRAT.P/CONSTRUCAO,DE ALUMINA/SILICA"
"6902900102";"TIJOLO REFRAT.N/FUNDIDO,P/CONSTRUCAO,OXIDO ZIRCONIO>25%"
"6902909901";"OUTS.PRODS.CERAM.DE GRAFITA/CARVAO GRAFIT.P/CONSTRUCAO"
"6903900100";"OUTS.CADINHOS CERAMICOS REFRATARIOS"
"6903909900";"OUTS.PRODS.CERAMICOS REFRATARIOS"
"6909110100";"APARS/ARTEFS.DE PORCELANA,P/USO QUIMICO/LABORATORIO"
"6909199901";"GUIA-FIOS DE CERAMICA,P/MAQ.TEXTIL,EXC.PORCELANA"
"6911109900";"OUTS.ARTEFS.P/SERVICO DE MESA/COZINHA,DE PORCELANA"
"6911909900";"OUTS.ARTEFS.DE USO DOMESTICO,DE PORCELANA"
"6914909900";"OUTS.OBRAS DE CERAMICA,EXC.DE PORCELANA"
"7001000102";"BLOCO DE VIDRO OPTICO,PRENSADO,COLOR.P/LENTE CORRETIVA"
"7001009999";"QQ.OUT.BLOCO/MASSA,DE VIDRO,EXC.OPTICO"
"7002100100";"ESFERAS DE VIDRO OPTICO"
"5701900299";"QQ.OUT.TAPETE DE OUT.MATERIA TEXTIL,FEITO A MAQUINA"
"5702420000";"TAPETES DE MATERIA TEXTIL,AVELUDADOS,CONFECCIONADOS"
"5702490000";"TAPETES DE OUT.MATERIA TEXTIL,AVELUDADOS,CONFECCIONADOS"
"5703300000";"TAPETES/OUT.REVESTIM.P/PAVIMENTO,DE OUT.MATERIA SINTET/"
"5704100101";"LADRILHO DE FELTRO,SUPERF<=0.3M2,N/TRAB.IMPREGN/REVEST."
"5704900199";"QQ.OUT.TAPETE/REVEST.P/PAVIMENTO,DE FELTRO,N/TRABALHADO"
"5705000000";"OUTS.TAPETES/ETC.DE MATERIA TEXTIL"
"5801100200";"VELUDO/PELUCIA,DE LA/PELOS FINOS,IMPREGN.C/OUT.MATERIA"
"5801109900";"VELUDO/PELUCIA,DE LA/PELOS FINOS,N/IMPREGNADO,N/REVEST."
"5801210100";"VELUDO/PELUCIA,DE ALGODAO,TRAMA,N/CORT.IMPREGN.BORRACHA"
"5801210200";"VELUDO/PELUCIA,DE ALGODAO,TRAMA,N/CORTADO,C/OUT.MATERIA"
"5801220100";"VELUDO/PELUCIA,DE ALGODAO,TRAMA,CORTAD.IMPREGN.BORRACHA"
"5801239900";"OUTS.VELUDOS/ETC.DE ALGODAO,OUT.TRAMA,S/OUT.MATERIA"
"8407310199";"QQ.OUT.MOTOR DE EXPLOSAO,MONOCIL.CIL<=50CM3,P/AUTOMOVEL"
"8407320300";"MOTOR EXPLOSAO,POLICIL.CIL<=250CM3,P/AUTOMOVEL,A ALCOOL"
"8541400100";"DISPOSITIVO FOTOSSENSIV.SEMICONDUTOR,EM PASTILHA/LAMINA"
"8541409902";"DIODOS EMISSORES DE LUZ (""LEDS"")"
"8541409905";"FOTOTIRISTORES"
"8541509900";"OUTS.DISPOSITIVOS SEMICONDUTORES,EXC.EM PASTILHA/LAMINA"
"8542900200";"TIRAS DE TERMINAIS/""LEADFRAME"",P/CIRCUITO INTEGRADO/ETC"
"8543200000";"GERADORES DE SINAIS,C/FUNCAO PROPRIA"
"8543209900";"OUTS.MAQS/APARS.GERADORES DE SINAL,ELETRICOS"
"8543809900";"OUTS.MAQUINAS/APARELHOS,ELETRICOS,C/FUNCAO PROPRIA"
"8543900100";"PARTES DE MAQUINAS/APARELHOS,ACELERADORES DE PARTICULAS"
"8544490100";"CABOS C/ARMADURA METALICA DE PROTECAO,P/TENSAO<=80V"
"8544590100";"CABOS C/ARMADURA METALICA DE PROTECAO,80V<TENSAO<=1KV"
"8544590201";"CABOS S/ARMADURA METAL.DE PROT.80V<T<=1KV,P/AERONAUTICA"
"8544709900";"CABOS DE FIBRAS OPTICAS,TRABALHADOS OPTICAMENTE"
"8545200100";"ESCOVAS DE CARVAO,P/APARS.ELETRS.DE IGNICAO/ARRANQUE"
"8547900100";"TUBO ISOLADOR/PECAS DE LIGACAO,DE METAL COMUM"
"5211420000";"TECIDO ALGODAO<85%,P>200G/M2,""DENIM"",COLORIDO"
"5212120000";"OUTS.TECIDOS ALGODAO,P<=200G/M2,BRANQUEADOS"
"5212250000";"OUTS.TECIDOS ALGODAO,P>200G/M2,ESTAMPADOS"
"5302900200";"ESTOPAS/DESPERDICIOS DE CANHAMO"
"7202700000";"LIGAS DE FERRO-MOLIBDENIO"
"7202910000";"LIGAS DE FERRO-TITANIO/FERRO-SILICIO-TITANIO"
"7202990200";"LIGAS DE FERRO-ZIRCONIO"
"7204290000";"DESPERDICIOS/RESIDUOS/SUCATA,DE LIGAS DE OUTS.ACOS"
"7204410000";"RESIDUOS DO TORNO/DA FRESA/APARAS/LASCAS/LIMALHA/ETC."
"7207200102";"SEMIMANUF.FERRO/ACO,CARBONO>=0.6%,VAZAM.CONTINUO"
"7207209902";"OUTS.SEMIMANUF.FERRO/ACO,CARBONO>=0.6%"
"7208230100";"LAMINADO PLANO,FERRO/ACO,A QUENTE,ROLO,E>=3MM,C<0.25%"
"7208410300";"LAMINADO PLANO,FERRO/ACO,A QUENTE,L<=1.2M,E>=4MM,C>0.6%"
"7208440300";"LAMINADO PLANO,FERRO/ACO,A QUENTE,E>=3MM,C>=0.6%,L>=6DM"
"8431420000";"LAMINAS PARA ""BULLDOZERS"" OU ""ANGLEDOZERS"""
"8432800100";"ROLOS/CILINDROS,COMPRESSORES/DESTORROADORES DE SOLO"
"8433510000";"CEIFEIRAS-DEBULHADORAS"
"9209300200";"CORDAS P/INSTRUM.MUSICAL,DE MONOFILAMENTO TEXTIL SINTET"
"9209929900";"OUTS.PARTES/ACESSORIOS,P/INSTRUMENTO MUSICAL DE CORDA"
"9209940000";"PARTES/ACESS.DE INSTRUMS.MUSICAIS ELETRONICOS"
"9209999900";"OUTS.PARTES/ACESS.P/INSTRUMENTOS MUSICAIS"
"9303300000";"OUTS.CARABINAS/ESPINGARDAS,DE CACA/TIRO-ALVO"
"9305100000";"PARTES E ACESSORIOS DE REVOLVERES OU PISTOLAS"
"9305900201";"BANDOLEIRAS P/ESPINGARDAS/CARABINAS/ETC.DE COURO"
"9305909999";"QQ.OUT.PARTE/ACESS.P/OUTS.ARMAS DE FOGO"
"9306299900";"OUTS.CHUMBOS P/CARABINAS DE AR COMPRIMIDO"
"9306300100";"CARTUCHO S/PROJETIL OU CARGA DE CHUMBO,P/USO TECNICO"
"9401109900";"ASSENTOS P/VEICULOS AEREOS,EXC.EJETAVEIS"
"9401710101";"SOFA/POLTRONA,ESTOFADOS,C/ARMACAO DE FERRO/ACO"
"9401710199";"QQ.OUT.SOFA/POLTRONA,ESTOFADO,C/ARMACAO DE OUT.METAL"
"9401719902";"OUTS.ASSENTOS ESTOFADOS,C/ARMACAO DE ALUMINIO"
"9402900200";"CADEIRAS HIDRAULICAS,P/USO EM OFTALMOLOGIA"
"9402900500";"MESAS PARA EXAME CLINICO"
"9402900600";"MESAS PARA OPERACAO CIRURGICA"
"8525100102";"APARS.TRANSMISS.P/RADIOTELEFONIA/ETC.P/VEIC.TERRESTRE/"
"8525200101";"APARS.TRANSMISS/RECEPT.RADIOTELEFONIA/ETC.P/AERONAUTICA"
"8525200104";"APARS.TRANSMISS/RECEPT.DE TELEIMPRESSAO/TELEFAC-SIMILE/"
"8525200199";"QQ.OUT.APARELHO TRANSMISSOR/RECEPT.RADIOTELEFONIA/ETC."
"8526929900";"OUTS.APARELHOS DE RADIOTELECOMANDO"
"8529109900";"REFLETORES/PARTES DE ANTENAS P/APAR.TRANSMISSOR/RECEPT."
"8529900600";"GABINETE P/APAR.TRANSMISSOR/RECEPT.DE RADIO/TELEVISAO/"
"8532220000";"CONDENSADOR FIXO,ELETROLITICO,DE ALUMINIO"
"8533100000";"RESISTENCIA ELETR.FIXA,DE CARBONO,AGLOMERADA/DE CAMADA"
"8533210100";"RESISTENCIA ELETR.FIXA,DE FIOS,POTENCIA<=20W"
"5305190100";"CAIRO (FIBRAS DE COCO) TRABALHADO,MAS NAO FIADO"
"5305990101";"RAMI PENTEADO,MAS NAO FIADO"
"5305999901";"OUTS.FIBRAS TEXTEIS VEGETAIS TRABALHADAS MAS N/FIADAS"
"5308100000";"FIO DE CAIRO (FIO DE FIBRAS DE COCO)"
"5308909999";"QQ.OUT.FIO DE OUT.FIBRA TEXTIL VEGETAL"
"5309190200";"OUTS.TECIDOS DE LINHO>=85%,QUADRO>24FIOS/5MM"
"5311000102";"TECIDO DE RAMI,LISO,CRU,QUADRO>24FIOS/5MM"
"7103109900";"OUTS.PEDRAS PRECIOSAS/ETC.EM BRUTO/SERRADAS/DESBASTADAS"
"7103910200";"SAFIRA (CORINDON) TRABALHADA DE OUT.MODO"
"7103990306";"PRASIO (QUARTZO) TRABALHADA DE OUT.MODO"
"7103990308";"QUARTZO FUME,TRABALHADA DE OUT.MODO"
"8433530000";"MAQUINAS P/COLHEITA DE RAIZES OU TUBERCULOS"
"8437809900";"OUTS.MAQS/APARS.P/IND.DA MOAGEM/TRATAM.DE CEREAIS/ETC."
"8438400000";"MAQUINAS/APARELHO,P/INDUSTRIA CERVEJEIRA"
"8438809900";"OUTS.MAQS/APARS.P/PREPARAR/FABRICAR ALIMENTOS/BEBIDAS"
"8439100100";"MAQS/APARS.P/TRATAM.DA MATERIA-PRIMA,P/FABR.DA PASTA"
"8439100300";"REFINADORAS P/FABR.PASTA DE MATERIA FIBROSA CELULOSICA"
"8439109900";"OUTS.MAQS/APARS.P/FABR.DE PASTA DE MATERIA CELULOSICA"
"8439910000";"PARTES DE MAQS/APARS.P/FABR.PASTA DE MATERIA CELULOSICA"
"8441809900";"OUTS.MAQS/APARS.P/TRAB.DA PASTA DE PAPEL/PAPEL/CARTAO"
"8441900000";"PARTES DE MAQS/APARS.P/TRAB.DA PASTA DE PAPEL/PAPEL/ETC"
"8442500200";"CHAPAS PREPARADAS,P/IMPRESSAO,EXC.GRAVADADAS EM RELEVO/"
"8708990100";"ALAVANCAS DE MUDANCA DE VELOCIDADE/FREIO,P/AUTOMOVEIS/"
"8708990499";"QQ.OUT.PARTE DE LAGARTAS,P/AUTOMOVEIS/ONIBUS/CAMINHOES/"
"8708991100";"TAMPAS P/BOCAL DO TANQUE COMBUSTIVEL/ETC.P/AUTOMOVEIS/"
"8708999900";"OUTS.PARTES/ACESS.P/AUTOMOVEIS/ONIBUS/CAMINHOES/ETC."
"6402110000";"CALCADOS DE BORRACHA/PLASTICO,C/COSTURA,P/ESQUI"
